"sampleID","patient","type","A1CF"
"TCGA-05-4244-01A","TCGA-05-4244","tumor",0
"TCGA-05-4249-01A","TCGA-05-4249","tumor",0.322
"TCGA-05-4250-01A","TCGA-05-4250","tumor",0
"TCGA-05-4382-01A","TCGA-05-4382","tumor",0
"TCGA-05-4384-01A","TCGA-05-4384","tumor",0
"TCGA-05-4389-01A","TCGA-05-4389","tumor",36.2416
"TCGA-05-4390-01A","TCGA-05-4390","tumor",0
"TCGA-05-4395-01A","TCGA-05-4395","tumor",0
"TCGA-05-4396-01A","TCGA-05-4396","tumor",15.9212
"TCGA-05-4397-01A","TCGA-05-4397","tumor",0
"TCGA-05-4398-01A","TCGA-05-4398","tumor",0.2175
"TCGA-05-4402-01A","TCGA-05-4402","tumor",0
"TCGA-05-4403-01A","TCGA-05-4403","tumor",1.9461
"TCGA-05-4405-01A","TCGA-05-4405","tumor",0
"TCGA-05-4410-01A","TCGA-05-4410","tumor",0
"TCGA-05-4415-01A","TCGA-05-4415","tumor",0
"TCGA-05-4417-01A","TCGA-05-4417","tumor",0
"TCGA-05-4418-01A","TCGA-05-4418","tumor",0.3324
"TCGA-05-4420-01A","TCGA-05-4420","tumor",0
"TCGA-05-4422-01A","TCGA-05-4422","tumor",54.1857
"TCGA-05-4424-01A","TCGA-05-4424","tumor",0
"TCGA-05-4425-01A","TCGA-05-4425","tumor",0
"TCGA-05-4426-01A","TCGA-05-4426","tumor",0
"TCGA-05-4427-01A","TCGA-05-4427","tumor",0
"TCGA-05-4430-01A","TCGA-05-4430","tumor",0
"TCGA-05-4432-01A","TCGA-05-4432","tumor",0.8653
"TCGA-05-4433-01A","TCGA-05-4433","tumor",8.2645
"TCGA-05-4434-01A","TCGA-05-4434","tumor",0.2261
"TCGA-05-5420-01A","TCGA-05-5420","tumor",187.0598
"TCGA-05-5423-01A","TCGA-05-5423","tumor",0
"TCGA-05-5425-01A","TCGA-05-5425","tumor",5.0905
"TCGA-05-5428-01A","TCGA-05-5428","tumor",0.872
"TCGA-05-5429-01A","TCGA-05-5429","tumor",99.768
"TCGA-05-5715-01A","TCGA-05-5715","tumor",0
"TCGA-35-3615-01A","TCGA-35-3615","tumor",0
"TCGA-35-4122-01A","TCGA-35-4122","tumor",0
"TCGA-35-4123-01A","TCGA-35-4123","tumor",0
"TCGA-35-5375-01A","TCGA-35-5375","tumor",0
"TCGA-38-4625-01A","TCGA-38-4625","tumor",0
"TCGA-38-4626-01A","TCGA-38-4626","tumor",0
"TCGA-38-4627-01A","TCGA-38-4627","tumor",0
"TCGA-38-4628-01A","TCGA-38-4628","tumor",0
"TCGA-38-4629-01A","TCGA-38-4629","tumor",0
"TCGA-38-4630-01A","TCGA-38-4630","tumor",0
"TCGA-38-4631-01A","TCGA-38-4631","tumor",11.7714
"TCGA-38-4632-01A","TCGA-38-4632","tumor",0
"TCGA-38-6178-01A","TCGA-38-6178","tumor",0
"TCGA-38-7271-01A","TCGA-38-7271","tumor",0
"TCGA-38-A44F-01A","TCGA-38-A44F","tumor",17.6941
"TCGA-44-2655-01A","TCGA-44-2655","tumor",0
"TCGA-44-2656-01A","TCGA-44-2656","tumor",0
"TCGA-44-2657-01A","TCGA-44-2657","tumor",0
"TCGA-44-2659-01A","TCGA-44-2659","tumor",0.3269
"TCGA-44-2661-01A","TCGA-44-2661","tumor",0
"TCGA-44-2662-01A","TCGA-44-2662","tumor",0
"TCGA-44-2665-01A","TCGA-44-2665","tumor",0
"TCGA-44-2666-01A","TCGA-44-2666","tumor",0
"TCGA-44-2668-01A","TCGA-44-2668","tumor",0
"TCGA-44-3396-01A","TCGA-44-3396","tumor",0
"TCGA-44-3398-01A","TCGA-44-3398","tumor",0
"TCGA-44-3918-01A","TCGA-44-3918","tumor",0
"TCGA-44-3919-01A","TCGA-44-3919","tumor",0
"TCGA-44-4112-01A","TCGA-44-4112","tumor",0
"TCGA-44-5643-01A","TCGA-44-5643","tumor",0
"TCGA-44-5644-01A","TCGA-44-5644","tumor",32.5852
"TCGA-44-5645-01A","TCGA-44-5645","tumor",0
"TCGA-44-6145-01A","TCGA-44-6145","tumor",0
"TCGA-44-6146-01A","TCGA-44-6146","tumor",1.8051
"TCGA-44-6147-01A","TCGA-44-6147","tumor",0
"TCGA-44-6148-01A","TCGA-44-6148","tumor",0.5357
"TCGA-44-6774-01A","TCGA-44-6774","tumor",0
"TCGA-44-6775-01A","TCGA-44-6775","tumor",0
"TCGA-44-6776-01A","TCGA-44-6776","tumor",0
"TCGA-44-6777-01A","TCGA-44-6777","tumor",0.526
"TCGA-44-6778-01A","TCGA-44-6778","tumor",1.269
"TCGA-44-6779-01A","TCGA-44-6779","tumor",0.797
"TCGA-44-7659-01A","TCGA-44-7659","tumor",0
"TCGA-44-7660-01A","TCGA-44-7660","tumor",0
"TCGA-44-7661-01A","TCGA-44-7661","tumor",0
"TCGA-44-7662-01A","TCGA-44-7662","tumor",0
"TCGA-44-7667-01A","TCGA-44-7667","tumor",0
"TCGA-44-7669-01A","TCGA-44-7669","tumor",0
"TCGA-44-7670-01A","TCGA-44-7670","tumor",4.328
"TCGA-44-7671-01A","TCGA-44-7671","tumor",0
"TCGA-44-7672-01A","TCGA-44-7672","tumor",0
"TCGA-44-8117-01A","TCGA-44-8117","tumor",0
"TCGA-44-8119-01A","TCGA-44-8119","tumor",0
"TCGA-44-8120-01A","TCGA-44-8120","tumor",0
"TCGA-44-A479-01A","TCGA-44-A479","tumor",0
"TCGA-44-A47A-01A","TCGA-44-A47A","tumor",0
"TCGA-44-A47B-01A","TCGA-44-A47B","tumor",0.4478
"TCGA-44-A47G-01A","TCGA-44-A47G","tumor",0
"TCGA-44-A4SS-01A","TCGA-44-A4SS","tumor",1.1077
"TCGA-44-A4SU-01A","TCGA-44-A4SU","tumor",0
"TCGA-49-4486-01A","TCGA-49-4486","tumor",0
"TCGA-49-4487-01A","TCGA-49-4487","tumor",0
"TCGA-49-4488-01A","TCGA-49-4488","tumor",0
"TCGA-49-4490-01A","TCGA-49-4490","tumor",0
"TCGA-49-4494-01A","TCGA-49-4494","tumor",0
"TCGA-49-4501-01A","TCGA-49-4501","tumor",0
"TCGA-49-4505-01A","TCGA-49-4505","tumor",0
"TCGA-49-4506-01A","TCGA-49-4506","tumor",0
"TCGA-49-4507-01A","TCGA-49-4507","tumor",0
"TCGA-49-4510-01A","TCGA-49-4510","tumor",0.3193
"TCGA-49-4512-01A","TCGA-49-4512","tumor",0
"TCGA-49-4514-01A","TCGA-49-4514","tumor",0
"TCGA-49-6742-01A","TCGA-49-6742","tumor",64.1312
"TCGA-49-6743-01A","TCGA-49-6743","tumor",0
"TCGA-49-6744-01A","TCGA-49-6744","tumor",0
"TCGA-49-6745-01A","TCGA-49-6745","tumor",0
"TCGA-49-6761-01A","TCGA-49-6761","tumor",0
"TCGA-49-6767-01A","TCGA-49-6767","tumor",0
"TCGA-49-AAQV-01A","TCGA-49-AAQV","tumor",0
"TCGA-49-AAR0-01A","TCGA-49-AAR0","tumor",0
"TCGA-49-AAR2-01A","TCGA-49-AAR2","tumor",0
"TCGA-49-AAR3-01A","TCGA-49-AAR3","tumor",0.8711
"TCGA-49-AAR4-01A","TCGA-49-AAR4","tumor",0.6305
"TCGA-49-AAR9-01A","TCGA-49-AAR9","tumor",0
"TCGA-49-AARE-01A","TCGA-49-AARE","tumor",0
"TCGA-49-AARN-01A","TCGA-49-AARN","tumor",28.3582
"TCGA-49-AARO-01A","TCGA-49-AARO","tumor",0
"TCGA-49-AARQ-01A","TCGA-49-AARQ","tumor",0
"TCGA-49-AARR-01A","TCGA-49-AARR","tumor",0
"TCGA-4B-A93V-01A","TCGA-4B-A93V","tumor",0
"TCGA-50-5044-01A","TCGA-50-5044","tumor",1.0235
"TCGA-50-5045-01A","TCGA-50-5045","tumor",0.846
"TCGA-50-5049-01A","TCGA-50-5049","tumor",0
"TCGA-50-5051-01A","TCGA-50-5051","tumor",0
"TCGA-50-5055-01A","TCGA-50-5055","tumor",0
"TCGA-50-5066-01A","TCGA-50-5066","tumor",1.7422
"TCGA-50-5068-01A","TCGA-50-5068","tumor",0
"TCGA-50-5072-01A","TCGA-50-5072","tumor",24.4804
"TCGA-50-5930-01A","TCGA-50-5930","tumor",0
"TCGA-50-5931-01A","TCGA-50-5931","tumor",0
"TCGA-50-5932-01A","TCGA-50-5932","tumor",0
"TCGA-50-5933-01A","TCGA-50-5933","tumor",0
"TCGA-50-5935-01A","TCGA-50-5935","tumor",0
"TCGA-50-5936-01A","TCGA-50-5936","tumor",0
"TCGA-50-5939-01A","TCGA-50-5939","tumor",0
"TCGA-50-5941-01A","TCGA-50-5941","tumor",0
"TCGA-50-5942-01A","TCGA-50-5942","tumor",0
"TCGA-50-5944-01A","TCGA-50-5944","tumor",0
"TCGA-50-5946-01A","TCGA-50-5946","tumor",0
"TCGA-50-6590-01A","TCGA-50-6590","tumor",0
"TCGA-50-6591-01A","TCGA-50-6591","tumor",0
"TCGA-50-6592-01A","TCGA-50-6592","tumor",0
"TCGA-50-6593-01A","TCGA-50-6593","tumor",0
"TCGA-50-6594-01A","TCGA-50-6594","tumor",0
"TCGA-50-6595-01A","TCGA-50-6595","tumor",0
"TCGA-50-6597-01A","TCGA-50-6597","tumor",0
"TCGA-50-6673-01A","TCGA-50-6673","tumor",1.1217
"TCGA-50-7109-01A","TCGA-50-7109","tumor",0
"TCGA-50-8457-01A","TCGA-50-8457","tumor",0
"TCGA-50-8459-01A","TCGA-50-8459","tumor",3.357
"TCGA-50-8460-01A","TCGA-50-8460","tumor",0
"TCGA-53-7624-01A","TCGA-53-7624","tumor",0
"TCGA-53-7626-01A","TCGA-53-7626","tumor",0
"TCGA-53-7813-01A","TCGA-53-7813","tumor",0
"TCGA-53-A4EZ-01A","TCGA-53-A4EZ","tumor",0
"TCGA-55-1592-01A","TCGA-55-1592","tumor",0
"TCGA-55-1594-01A","TCGA-55-1594","tumor",0
"TCGA-55-1595-01A","TCGA-55-1595","tumor",0
"TCGA-55-1596-01A","TCGA-55-1596","tumor",0
"TCGA-55-5899-01A","TCGA-55-5899","tumor",220.6029
"TCGA-55-6543-01A","TCGA-55-6543","tumor",0
"TCGA-55-6642-01A","TCGA-55-6642","tumor",0
"TCGA-55-6712-01A","TCGA-55-6712","tumor",0
"TCGA-55-6968-01A","TCGA-55-6968","tumor",0
"TCGA-55-6969-01A","TCGA-55-6969","tumor",1.3798
"TCGA-55-6970-01A","TCGA-55-6970","tumor",0
"TCGA-55-6971-01A","TCGA-55-6971","tumor",0
"TCGA-55-6972-01A","TCGA-55-6972","tumor",0
"TCGA-55-6975-01A","TCGA-55-6975","tumor",0
"TCGA-55-6978-01A","TCGA-55-6978","tumor",0
"TCGA-55-6979-01A","TCGA-55-6979","tumor",0
"TCGA-55-6980-01A","TCGA-55-6980","tumor",0
"TCGA-55-6981-01A","TCGA-55-6981","tumor",0
"TCGA-55-6982-01A","TCGA-55-6982","tumor",0
"TCGA-55-6983-01A","TCGA-55-6983","tumor",0
"TCGA-55-6984-01A","TCGA-55-6984","tumor",0
"TCGA-55-6985-01A","TCGA-55-6985","tumor",0
"TCGA-55-6986-01A","TCGA-55-6986","tumor",0
"TCGA-55-6987-01A","TCGA-55-6987","tumor",0.3531
"TCGA-55-7227-01A","TCGA-55-7227","tumor",0
"TCGA-55-7281-01A","TCGA-55-7281","tumor",0
"TCGA-55-7283-01A","TCGA-55-7283","tumor",0
"TCGA-55-7570-01A","TCGA-55-7570","tumor",0.4357
"TCGA-55-7573-01A","TCGA-55-7573","tumor",0
"TCGA-55-7574-01A","TCGA-55-7574","tumor",0
"TCGA-55-7576-01A","TCGA-55-7576","tumor",0
"TCGA-55-7724-01A","TCGA-55-7724","tumor",0
"TCGA-55-7725-01A","TCGA-55-7725","tumor",0
"TCGA-55-7726-01A","TCGA-55-7726","tumor",0
"TCGA-55-7727-01A","TCGA-55-7727","tumor",0
"TCGA-55-7728-01A","TCGA-55-7728","tumor",62.2337
"TCGA-55-7815-01A","TCGA-55-7815","tumor",0
"TCGA-55-7816-01A","TCGA-55-7816","tumor",0
"TCGA-55-7903-01A","TCGA-55-7903","tumor",0.4983
"TCGA-55-7907-01A","TCGA-55-7907","tumor",0
"TCGA-55-7910-01A","TCGA-55-7910","tumor",0
"TCGA-55-7911-01A","TCGA-55-7911","tumor",0
"TCGA-55-7914-01A","TCGA-55-7914","tumor",0
"TCGA-55-7994-01A","TCGA-55-7994","tumor",0
"TCGA-55-7995-01A","TCGA-55-7995","tumor",0
"TCGA-55-8085-01A","TCGA-55-8085","tumor",0
"TCGA-55-8087-01A","TCGA-55-8087","tumor",0
"TCGA-55-8089-01A","TCGA-55-8089","tumor",0
"TCGA-55-8090-01A","TCGA-55-8090","tumor",0
"TCGA-55-8091-01A","TCGA-55-8091","tumor",0
"TCGA-55-8092-01A","TCGA-55-8092","tumor",1.3346
"TCGA-55-8094-01A","TCGA-55-8094","tumor",2.3841
"TCGA-55-8096-01A","TCGA-55-8096","tumor",0
"TCGA-55-8097-01A","TCGA-55-8097","tumor",0
"TCGA-55-8203-01A","TCGA-55-8203","tumor",0
"TCGA-55-8204-01A","TCGA-55-8204","tumor",0
"TCGA-55-8205-01A","TCGA-55-8205","tumor",0
"TCGA-55-8206-01A","TCGA-55-8206","tumor",0
"TCGA-55-8207-01A","TCGA-55-8207","tumor",0
"TCGA-55-8208-01A","TCGA-55-8208","tumor",0
"TCGA-55-8299-01A","TCGA-55-8299","tumor",0
"TCGA-55-8301-01A","TCGA-55-8301","tumor",0
"TCGA-55-8302-01A","TCGA-55-8302","tumor",0
"TCGA-55-8505-01A","TCGA-55-8505","tumor",13.5533
"TCGA-55-8506-01A","TCGA-55-8506","tumor",0
"TCGA-55-8507-01A","TCGA-55-8507","tumor",0
"TCGA-55-8508-01A","TCGA-55-8508","tumor",0
"TCGA-55-8510-01A","TCGA-55-8510","tumor",0
"TCGA-55-8511-01A","TCGA-55-8511","tumor",0
"TCGA-55-8512-01A","TCGA-55-8512","tumor",0.5345
"TCGA-55-8513-01A","TCGA-55-8513","tumor",8.9021
"TCGA-55-8514-01A","TCGA-55-8514","tumor",0
"TCGA-55-8614-01A","TCGA-55-8614","tumor",0.6286
"TCGA-55-8615-01A","TCGA-55-8615","tumor",0
"TCGA-55-8616-01A","TCGA-55-8616","tumor",0.5252
"TCGA-55-8619-01A","TCGA-55-8619","tumor",0.5824
"TCGA-55-8620-01A","TCGA-55-8620","tumor",448.281
"TCGA-55-8621-01A","TCGA-55-8621","tumor",1.0714
"TCGA-55-A48X-01A","TCGA-55-A48X","tumor",0
"TCGA-55-A48Y-01A","TCGA-55-A48Y","tumor",0
"TCGA-55-A48Z-01A","TCGA-55-A48Z","tumor",0
"TCGA-55-A490-01A","TCGA-55-A490","tumor",0
"TCGA-55-A491-01A","TCGA-55-A491","tumor",0
"TCGA-55-A492-01A","TCGA-55-A492","tumor",0
"TCGA-55-A493-01A","TCGA-55-A493","tumor",0
"TCGA-55-A494-01A","TCGA-55-A494","tumor",0
"TCGA-55-A4DF-01A","TCGA-55-A4DF","tumor",0
"TCGA-55-A4DG-01A","TCGA-55-A4DG","tumor",0
"TCGA-55-A57B-01A","TCGA-55-A57B","tumor",0
"TCGA-62-8394-01A","TCGA-62-8394","tumor",0
"TCGA-62-8395-01A","TCGA-62-8395","tumor",0.4386
"TCGA-62-8397-01A","TCGA-62-8397","tumor",0
"TCGA-62-8398-01A","TCGA-62-8398","tumor",10.5091
"TCGA-62-8399-01A","TCGA-62-8399","tumor",0
"TCGA-62-8402-01A","TCGA-62-8402","tumor",0.9853
"TCGA-62-A46O-01A","TCGA-62-A46O","tumor",0
"TCGA-62-A46P-01A","TCGA-62-A46P","tumor",0
"TCGA-62-A46R-01A","TCGA-62-A46R","tumor",0
"TCGA-62-A46S-01A","TCGA-62-A46S","tumor",0
"TCGA-62-A46U-01A","TCGA-62-A46U","tumor",0
"TCGA-62-A46V-01A","TCGA-62-A46V","tumor",0
"TCGA-62-A46Y-01A","TCGA-62-A46Y","tumor",0.5013
"TCGA-62-A470-01A","TCGA-62-A470","tumor",0
"TCGA-62-A471-01A","TCGA-62-A471","tumor",0
"TCGA-62-A472-01A","TCGA-62-A472","tumor",0.9653
"TCGA-64-1676-01A","TCGA-64-1676","tumor",0
"TCGA-64-1677-01A","TCGA-64-1677","tumor",0
"TCGA-64-1678-01A","TCGA-64-1678","tumor",0
"TCGA-64-1679-01A","TCGA-64-1679","tumor",0
"TCGA-64-1680-01A","TCGA-64-1680","tumor",0
"TCGA-64-1681-01A","TCGA-64-1681","tumor",0
"TCGA-64-5774-01A","TCGA-64-5774","tumor",0
"TCGA-64-5775-01A","TCGA-64-5775","tumor",0
"TCGA-64-5778-01A","TCGA-64-5778","tumor",0
"TCGA-64-5779-01A","TCGA-64-5779","tumor",0
"TCGA-64-5781-01A","TCGA-64-5781","tumor",0
"TCGA-64-5815-01A","TCGA-64-5815","tumor",0
"TCGA-67-3770-01A","TCGA-67-3770","tumor",0
"TCGA-67-3771-01A","TCGA-67-3771","tumor",0
"TCGA-67-3772-01A","TCGA-67-3772","tumor",0
"TCGA-67-3773-01A","TCGA-67-3773","tumor",0
"TCGA-67-3774-01A","TCGA-67-3774","tumor",0
"TCGA-67-6215-01A","TCGA-67-6215","tumor",0
"TCGA-67-6216-01A","TCGA-67-6216","tumor",0
"TCGA-67-6217-01A","TCGA-67-6217","tumor",0
"TCGA-69-7760-01A","TCGA-69-7760","tumor",0
"TCGA-69-7761-01A","TCGA-69-7761","tumor",45.3319
